feature_id,location_id,date,dengue_lag_1,dengue_lag_2,dengue_lag_4,dengue_rolling_4,malaria_lag_1,malaria_lag_4,rainfall_1,rainfall_2,rainfall_4,rainfall_8,temperature_1,temperature_2,temperature_4,rainfall_anomaly,temperature_anomaly,outbreak_target,population,urban_density,sanitation_index,municipality,state_name
85,131,2025-12-01,,,,16,39,9,31.927068536931817,6.322863492098722,,,28.125821461397095,28.160374540441182,,-62.167522083629265,0.17138671875,0,20119,19.15796999140549,0.4404016744812896,Macapá,Amapá
86,132,2025-04-01,,,,4,1,3,331.9739774816176,313.9661649816176,,,24.612729458041997,24.598115166083915,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
87,132,2025-05-01,,,,1,4,12,206.7457778033088,331.9739774816176,,,25.069624125874157,24.612729458041997,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
88,132,2025-07-01,,,,1,1,7,316.33415670955884,206.7457778033088,,,25.38583916083917,25.069624125874157,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
89,132,2025-08-01,,,,1,1,1,159.36326688878677,316.33415670955884,,,25.28102600524477,25.38583916083917,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
90,132,2025-09-01,,,,2,1,4,79.00396369485294,159.36326688878677,,,26.003135926573464,25.28102600524477,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
91,132,2025-10-01,,,,2,2,1,50.86065314797794,79.00396369485294,,,27.636658653846155,26.003135926573464,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
92,132,2025-11-01,,,,1,2,1,28.095961626838236,50.86065314797794,,,27.99092548076925,27.636658653846155,,0.0,0.0,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
93,132,2025-12-01,,,,4,1,1,54.25839412913603,28.095961626838236,,,28.200743006993036,27.99092548076925,,-29.036793428308826,0.21976070804197434,0,52468,1.7092107145073783,0.33488333617320387,Mazagão,Amapá
94,133,2025-04-01,,,,116,114,19,299.40976186899036,349.2003831129808,,,24.869209956709994,24.531547619047615,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
95,133,2025-05-01,,,,113,116,127,257.85779747596155,299.40976186899036,,,24.88500405844161,24.869209956709994,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
96,133,2025-06-01,,,,102,113,128,346.37124399038464,257.85779747596155,,,24.83532196969702,24.88500405844161,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
97,133,2025-07-01,,,,101,102,114,271.5001878004808,346.37124399038464,,,24.958394209956737,24.83532196969702,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
98,133,2025-08-01,,,,98,101,116,165.40394005408655,271.5001878004808,,,25.166220238095264,24.958394209956737,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
99,133,2025-09-01,,,,130,98,113,72.2474834735577,165.40394005408655,,,25.585389610389655,25.166220238095264,,0.0,0.0,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
100,133,2025-10-01,,,,173,130,102,15.82654278094952,72.2474834735577,,,27.351826298701326,25.585389610389655,,0.0,0.0,1,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
101,133,2025-11-01,,,,163,173,101,40.77340932992789,15.82654278094952,,,27.699093614718663,27.351826298701326,,0.0,0.0,1,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
102,133,2025-12-01,,,,129,163,98,72.33826622596153,40.77340932992789,,,27.210795454545462,27.699093614718663,,-17.851398174579344,0.12515219155844193,0,83744,3.043788390175914,0.23991282790382273,Oiapoque,Amapá
103,134,2025-04-01,,,,21,12,4,351.8694035456731,315.84281099759613,,,24.304674030172464,24.19927262931037,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
104,134,2025-05-01,,,,16,21,15,217.53568209134616,351.8694035456731,,,24.55669450431037,24.304674030172464,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
105,134,2025-06-01,,,,8,16,6,308.93306790865387,217.53568209134616,,,24.829694234913802,24.55669450431037,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
106,134,2025-07-01,,,,21,8,12,229.55179537259616,308.93306790865387,,,24.606768588362115,24.829694234913802,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
107,134,2025-08-01,,,,37,21,21,155.94864595853366,229.55179537259616,,,24.793898168103453,24.606768588362115,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
108,134,2025-09-01,,,,44,37,16,64.09461857722356,155.94864595853366,,,25.574003232758628,24.793898168103453,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
109,134,2025-10-01,,,,52,44,8,47.77981802133414,64.09461857722356,,,28.294908405172464,25.574003232758628,,0.0,0.0,0,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
110,134,2025-11-01,,,,56,52,21,47.01217886117789,47.77981802133414,,,28.32370016163793,28.294908405172464,,0.0,0.0,1,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
111,134,2025-12-01,,,,53,56,37,93.91363055889423,47.01217886117789,,,28.106633890086243,28.32370016163793,,-30.26055203951323,0.30005724676723844,1,42397,14.954592204055087,0.2718001990114078,Pedra Branca do Amapari,Amapá
112,135,2025-05-01,,,,7,3,3,201.79562557444854,390.7676355698529,,,24.9270464085821,24.53674207089557,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
113,135,2025-06-01,,,,19,7,3,311.71355124080884,201.79562557444854,,,25.28921991604477,24.9270464085821,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
114,135,2025-07-01,,,,9,19,5,239.6878159466912,311.71355124080884,,,25.06682602611943,25.28921991604477,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
115,135,2025-08-01,,,,14,9,3,170.8476993336397,239.6878159466912,,,25.253189132462694,25.06682602611943,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
116,135,2025-09-01,,,,28,14,7,64.49441348805146,170.8476993336397,,,26.01552005597017,25.253189132462694,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
117,135,2025-10-01,,,,54,28,19,42.85330379710478,64.49441348805146,,,27.838018889925422,26.01552005597017,,0.0,0.0,0,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
118,135,2025-11-01,,,,91,54,9,25.10049258961397,42.85330379710478,,,28.190251865671655,27.838018889925422,,0.0,0.0,1,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
119,135,2025-12-01,,,,57,91,14,95.6984504250919,25.10049258961397,,,28.189319029850765,28.190251865671655,,0.0,0.0,1,51161,18.525539141851997,0.32129484887826043,Porto Grande,Amapá
120,138,2025-04-01,,,,6,5,1,336.07691592261904,320.67017764136904,,,24.443338815789502,24.283264802631606,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
121,138,2025-05-01,,,,8,6,6,254.2431408110119,336.07691592261904,,,24.629851973684254,24.443338815789502,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
122,138,2025-06-01,,,,15,8,8,323.92450241815476,254.2431408110119,,,24.816735197368416,24.629851973684254,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
123,138,2025-07-01,,,,12,15,5,230.23895554315476,323.92450241815476,,,24.72707648026318,24.816735197368416,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
124,138,2025-08-01,,,,16,12,6,176.5678478422619,230.23895554315476,,,24.831578947368428,24.72707648026318,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
125,138,2025-09-01,,,,15,16,8,70.95849609375,176.5678478422619,,,25.6141858552632,24.831578947368428,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
126,138,2025-10-01,,,,16,15,15,35.108453659784224,70.95849609375,,,28.379523026315837,25.6141858552632,,0.0,0.0,0,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
127,138,2025-11-01,,,,26,16,12,45.544590541294646,35.108453659784224,,,28.492105263157896,28.379523026315837,,0.0,0.0,1,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
128,138,2025-12-01,,,,40,26,16,102.75890531994048,45.544590541294646,,,28.134724506578948,28.492105263157896,,-36.41216169084822,0.2562191611841911,1,3206,6.452446536489374,0.23575366488872682,Serra do Navio,Amapá
129,139,2025-05-01,,,,2,10,4,252.44861557904412,381.88034237132354,,,24.99676339285719,24.679976663961043,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
130,139,2025-06-01,,,,2,2,3,298.23509306066177,252.44861557904412,,,25.26066355519481,24.99676339285719,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
131,139,2025-07-01,,,,3,2,2,198.42217658547793,298.23509306066177,,,25.343709415584442,25.26066355519481,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
132,139,2025-08-01,,,,1,3,10,127.04707605698529,198.42217658547793,,,25.420667613636397,25.343709415584442,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
